title,featuredLevel,publishDate,price,numBedrooms,numBathrooms,propertyType,propertySize,category,m_totalImages,ber_rating,longitude,latitude
"16A Trim Road, Kilmore, Dublin 5",premium,1/27/2022,315000,2,2,End of Terrace,63,Buy,55,E1,-8.75208,53.687576
"Apartment 21, The Anchorage, The Crescent, Malahide, Co. Dublin",premium,1/25/2022,460000,2,2,Apartment,76,Buy,16,C3,-6.546566,52.230712
"88 Castleheath, Malahide, Co. Dublin",premium,1/25/2022,550000,3,3,Duplex,127,Buy,10,D1,-6.289973,53.35347
"11 Raglan Road, Ballsbridge, Dublin 4",premium,1/28/2022,3000000,5,4,Terrace,341,Buy,24,D1,-6.414316,53.347478
"16 Bracken Hill, Sandyford, Dublin 18",premium,1/10/2022,195000,1,1,Apartment,43,Buy,17,E1,-9.198086,53.52677
"15 Chapel Farm Park, Lusk, Co. Dublin",premium,1/28/2022,325000,3,3,Semi-D,130,Buy,11,SI_666,-7.10646097,52.25871974
"145 Whitehall Road, Terenure, Dublin 12",premium,1/30/2022,675000,2,1,Bungalow,105,Buy,12,XXX,-6.199471,53.452183
"20 Killeen Avenue, Co. Dublin., K36HY48, Malahide, Co. Dublin",premium,1/30/2022,550000,3,3,Semi-D,100,Buy,16,XXX,-7.078264,53.834601
"Yellowood, 18A Stillorgan Park Avenue, Blackrock, Co. Dublin",premium,1/28/2022,1450000,4,4,Detached,232,Buy,17,E1,-6.139142,53.266407
"89 Hollybank Road, Drumcondra, Dublin 9",premium,1/28/2022,575000,4,4,End of Terrace,150,Buy,37,A3,-7.607842,52.094767
"Mews 2, Rear 93 Booterstown Avenue, Booterstown, Co. Dublin",premium,1/30/2022,595000,2,2,End of Terrace,85,Buy,14,G,-9.607402,51.76562
"15 Rowan Hall, Milltown, Dublin 6",premium,1/30/2022,450000,2,2,Apartment,88,Buy,9,B3,-6.321407,53.39544
"73 Greentrees Road, Terenure, Dublin 12",premium,1/30/2022,625000,5,1,Semi-D,153,Buy,10,D1,-8.6546607,52.6770962
"12 Sweetmount Drive, Dundrum, Dundrum, Dublin 14",premium,1/17/2022,650000,4,2,Semi-D,112,Buy,23,XXX,-6.2410856,53.46485299
"9 Milltown Court, Milltown, Dublin 6",premium,1/30/2022,595000,3,1,Semi-D,81,Buy,14,C3,-8.432649,51.871797
"Annesley Gardens, Annesley Gardens, Ranelagh, Dublin 6",premium,1/30/2022,1450000,3,3,Terrace,45,New Homes,8,G,-8.487048,51.889126
"Annesley Gardens, Annesley Gardens, Ranelagh, Dublin 6",premium,1/30/2022,1700000,4,4,Terrace,,New Homes,0,SI_666,-9.549086,53.799572
"4 Stationcourt View, Clonsilla, Dublin 15",premium,1/28/2022,250000,2,2,Apartment,61,Buy,22,F,-8.24634,53.757257
"90 Castleknock Park, Castleknock, Dublin 15",premium,1/28/2022,750000,4,3,Detached,132,Buy,17,D1,-6.22176,53.457375
"2 Abbeyvale Place, Swords, Co. Dublin",premium,1/11/2022,465000,3,3,Detached,98,Buy,11,F,-8.972633,53.575898
"77 The Water Rill, Waterside, Malahide, Co. Dublin",premium,1/5/2022,270000,2,1,Apartment,56,Buy,3,G,-7.609862,53.688763
"Saint Anthony, 103 Inbhir Ide, Malahide, Co. Dublin",premium,1/9/2022,560000,3,3,Semi-D,102,Buy,29,A3,-6.206919,53.610812
"36 The Kilns, Station Road, Portmarnock, Co. Dublin",premium,1/27/2022,325000,2,1,Apartment,58,Buy,13,D1,-8.61133,53.840525
"Doctors Surgery, Crescent View, Leixlip Road, Lucan, Co. Dublin",premium,1/30/2022,645000,4,2,Bungalow,204,Buy,10,E1,-6.325489,53.331582
"Liwara, Shanganagh Road, Killiney, Co. Dublin",premium,1/28/2022,795000,4,3,Detached,150,Buy,19,C1,-7.702972,53.392878
"28 Devoy Road, Inchicore, Inchicore, Dublin 8",premium,1/28/2022,315000,3,1,Terrace,70,Buy,11,D1,-6.080982,53.143915
"Apartment 5, Beaucourt, Achill Road, Drumcondra, Dublin 9",premium,1/28/2022,275000,1,1,Apartment,40,Buy,18,B3,-6.239494,53.360895
"5 Ballalease West, Donabate, Co. Dublin",premium,1/12/2022,630000,4,3,Detached,149,Buy,21,D1,-6.355079,53.725634
"7 Castleland Park View, Balbriggan, Co. Dublin",premium,1/30/2022,379500,4,3,Semi-D,125,Buy,6,SI_666,-8.142083,55.116859
"One Springfield Park, Foxrock, Dublin 18, Foxrock, Dublin 18",premium,12/15/2021,590000,2,2,Apartment,,New Homes,12,E2,-8.959087,53.945719
"Lansdowne Place, Ballsbridge, Dublin 4",premium,1/28/2022,800000,1,2,Apartment,,New Homes,28,D2,-7.367064,53.38277
